language,world,africa,americas,asia,europe,oceania,countries
English,59,23,14,5,3,14,"United Kingdom, United States,[L 1]Canada, Australia, New Zealand, Ireland, India, South Africa, Nigeria (See the full list)"
French,29,21,2,0,5,1,"France, Canada, Belgium, Switzerland, Madagascar, Monaco, Haiti, Vanuatu (See the full list)"
Arabic,25,13,0,12,0,0,"Egypt, Sudan, Algeria, Iraq, Morocco, Saudi Arabia, United Arab Emirates, Palestine* (See the full list)"
Spanish,21,1,19,0,1,0,"Spain, Mexico, Colombia, Argentina, Equatorial Guinea (See the full list)"
Portuguese,10,6,1,2,1,0,"Portugal, Brazil, Mozambique, Angola, East Timor, Macau* (See the full list)"
German,6,0,0,0,6,0,"Germany, Austria, Switzerland, Belgium, Luxembourg, Liechtenstein"
Russian,8,0,0,3,5,0,"Russia, Kazakhstan, Belarus, Kyrgyzstan, Tajikistan, Abkhazia*, South Ossetia*, Transnistria*. (See the full list)"
Swahili,5,5,0,0,0,0,"Democratic Republic of the Congo, Kenya, Rwanda, Tanzania, Uganda"
Serbo-Croatian,5,0,0,0,5,0,"Serbia (known as Serbian), Croatia (known as Croatian), Montenegro (known as Montenegrin), Bosnia and Herzegovina (known as Bosnian, Croatian and Serbian), Kosovo* (known as Serbian)"
Italian,4,0,0,0,4,0,"Italy, Switzerland, San Marino, Vatican City"
Malay,4,0,0,4,0,0,"Malaysia (known as Malaysian), Indonesia (known as Indonesian), Singapore, Brunei"
Dutch,3,0,1,0,2,0,"Netherlands, Belgium, Suriname"
Persian,3,0,0,3,0,0,"Iran, Afghanistan (known as Dari), Tajikistan (known as Tajik)"
Sotho,3,3,0,0,0,0,"South Africa, Lesotho, Zimbabwe"
Tswana,3,3,0,0,0,0,"Botswana, South Africa, Zimbabwe"
Albanian,3,0,0,0,3,0,"Albania, Kosovo*, North Macedonia"
Standard Chinese,3,0,0,3,0,0,"China, Singapore, Taiwan*"
Romanian,3,0,0,0,3,0,"Romania, Moldova, Transnistria*"
Turkish,3,0,0,0,3,0,"Turkey, Northern Cyprus* and Cyprus"
Somali,3,3,0,0,0,0,"Somalia, Ethiopia, and Somaliland*"
Aymara,2,0,2,0,0,0,Bolivia and Peru
Berber,2,2,0,0,0,0,Algeria and Morocco
Chichewa,2,2,0,0,0,0,Malawi and Zimbabwe
Greek,2,0,0,0,2,0,Greece and Cyprus
Guarani,2,0,2,0,0,0,Paraguay and Bolivia
Hindiâ€“Urdu,2,0,0,2,0,0,India (known as Hindi) and Pakistan (known as Urdu)
Korean,2,0,0,2,0,0,North Korea and South Korea
Quechua,2,0,2,0,0,0,Bolivia and Peru
Rwanda-Rundi,2,2,0,0,0,0,Burundi (known as Kirundi) & Rwanda (known as Kinyarwanda)
Swati,2,2,0,0,0,0,Eswatini (Swaziland) and South Africa
Swedish,2,0,0,0,2,0,Sweden and Finland
Tamil,2,0,0,2,0,0,"Sri Lanka, Singapore"
Tigrinya,2,2,0,0,0,0,Eritrea and Ethiopia
Venda,2,2,0,0,0,0,South Africa and Zimbabwe
Xhosa,2,2,0,0,0,0,South Africa and Zimbabwe
Armenian,2,0,0,0,2,0,Armenia and Artsakh*
